ID,Title,SKU,"Product Type","Parent Product ID",_isbn_text_field,epub_uuid
3703,Tröllagleði,110831,variable,3702,9789935110831,
3714,"Vigdís - kona verður forseti",110862,variable,3713,9789935110862,
3724,"Ekkert fokking klúður",110893,variable,3723,9789935110893,
3732,"Ísland í aldanna rás, 18. öldin",110916,variable,3731,9789935110916,
3738,Skuldadagar,110923,variable,3737,9789935110923,
3746,"Skúli skelfir fer í frí",110954,variable,3745,9789935110954,
3752,"Tungutak – Hljóðfræði og hljóðkerfisfræði",110961,variable,3751,9789935110961,
3756,"Tungutak – Félagsleg málvísindi",110978,variable,3755,9789935110978,
3761,Póstkortamorðin,110985,variable,3760,9789935110985,
3766,"Heilræði hjartans",111029,variable,3765,9789935111029,
3770,"Góða nótt, yndið mitt",111043,variable,3769,9789935111043,
3775,"Aðþrengd í Odessu",111081,variable,3774,9789935111081,
3780,"Bláa minnisbókin",111098,variable,3779,9789935111098,
3792,"Með á nótunum 2 + CD",111111,variable,3791,9789935111111,
3803,"Dauð þar til dimmir",111135,variable,3802,9789935111135,
3813,Fyrirsætumorðin,111159,variable,3812,9789935111159,
3817,"Ljóð línu safn",111166,variable,3816,9789935111166,
3822,"Píslarvottar án hæfileika",111173,variable,3821,9789935111173,
3830,Hvalir,111197,variable,3829,9789935111197,
3834,Whales,111203,variable,3833,9789935111203,
3840,"Alheimurinn - leiðsögn í máli og myndum",111210,variable,3839,9789935111210,
3844,"365 ástríðunætur",111227,variable,3843,9789935111227,
3848,"365 sjóðheitar stellingar",111234,variable,3847,9789935111234,
3852,Lostaleikir,111241,variable,3851,9789935111241,
3858,Urðargaldur,111242,variable,3857,9789979119838,
3863,Makalaus,111258,variable,3862,9789935111258,
3869,Skotvopnabókin,111265,variable,3868,9789935111265,
3873,"Skúli skelfir vekur upp draug",111272,variable,3872,9789935111272,
3881,"Á barmi næturinnar - ljóðasafn",111296,variable,3880,9789935111296,
3887,Síðdegi,111302,variable,3886,9789935111302,
3898,Morgunengill,111333,variable,3897,9789935111333,
3904,Koss,111340,variable,3903,9789935111340,
3910,Myrkvun,111357,variable,3909,9789935111357,
3914,"Prinsessa í framboði",111364,variable,3913,9789935111364,
3932,"Fæddur í dimmum skugga",111395,variable,3931,9789935111395,
3936,"Doris deyr",111401,variable,3935,9789935111401,
3948,"Sigurvegarinn stendur einn",111425,variable,3947,9789935111425,
3952,Biblían,111432,variable,3951,9789935111432,
3956,"Biblía - án Apókrýfu bóka",111449,variable,3955,9789935111449,
3965,"Lifandi dauð í Dallas",111487,variable,3964,9789935111487,
3970,"Hvar er Valli?",111494,variable,3969,9789935111494,
3974,"Hvar er Valli núna?",111500,variable,3973,9789935111500,
3980,"Boot Camp - hámarksárangur",111517,variable,3979,9789935111517,
3990,"Nornin og dularfulla gauksklukkan",111524,variable,3989,9789935111524,
3996,"Ég sé ekkert svona gleraugnalaus",111531,variable,3995,9789935111531,
4002,"Dávaldurinn: Joona Linna #1",111548,variable,4001,9789935111548,
4007,"Á valdi örlaganna: ævisaga Kristjáns Jóhanssonar",111555,variable,4006,9789935111555,
4012,"1000 draumaráðningar",111562,variable,4011,9789935111562,
4017,"Nýja afmælisdagabókin",111579,variable,4016,9789935111579,
4022,"Martröð millanna",111586,variable,4021,9789935111586,
4025,"Artemis Fowl - Atlantisduldin",111593,variable,4024,9789935111593,
4029,Missir,111609,variable,4028,9789935111609,
4035,Heimanfylgja,111616,variable,4034,9789935111616,
4043,"Alvara leiksins",111623,variable,4042,9789935111623,
4047,"Gunnar Thoroddsen - Ævisaga",111630,variable,4046,9789935111630,
4053,Brúður,111647,variable,4052,9789935111647,
4058,"Köttum til varnar",111654,variable,4057,9789935111654,
4063,Prjónaklúbburinn,111661,variable,4062,9789935111661,
4067,"Péturspostilla - hugvekjur handa Íslendingum",111685,variable,4066,9789935111685,
4073,"Lífshamingja í hrjáðum heimi",111692,variable,4072,9789935111692,
4078,"Eineygði kötturinn Kisi & leyndardómar Eyjafjallajökuls",111708,variable,4077,9789935111708,
4084,"Þýskaland - Vetrarævintýri",111715,variable,4083,9789935111715,
4092,"Handbók um íslensku",111722,variable,4091,9789935111722,
4096,"Mundu mig, ég man þig",111739,variable,4095,9789935111739,
4100,"Sjöundi himinn",111746,variable,4099,9789935111746,
4105,"Þannig er lífið núna",111760,variable,4104,9789935111760,
4110,Brothætt,111777,variable,4109,9789935111777,
4116,Táknið,111784,variable,4115,9789935111784,
4120,"Myrkraslóð: Rebecka Martinsson #3",111807,variable,4119,9789935111807,
4128,"Stefnumótunarfærni – markmið, stefna og leiðir",111814,variable,4127,9789935111814,
4132,"Leiðtogafærni – sjálfsskilningur, þroski og þróun",111821,variable,4131,9789935111821,
4138,Sláttur,111838,variable,4137,9789935111838,
4142,"Fimbulkaldur: Jack Reacher #14",111869,variable,4141,9789935111869,
4146,"Legobók - Ninjago",111876,variable,4145,9789935111876,
4150,"Lærðu að teikna herramenn",111883,variable,4149,9789935111883,
4154,"Vísindin - leiðsögn í máli og myndum",111890,variable,4153,9789935111890,
4159,"Ungfrú afmælis",111906,variable,4158,9789935111906,
4163,"Herra Góður",111913,variable,4162,9789935111913,
4167,"Herra skellur og riddarinn",111920,variable,4166,9789935111920,
4171,"Ungfrú ágæt og prinsessan",111937,variable,4170,9789935111937,
4175,"Ungfrú prinsessa",111944,variable,4174,9789935111944,
4181,"Frönsk svíta",111951,variable,4180,9789935111951,
4185,"Herra latur",111968,variable,4184,9789935111968,
4190,"Riddarar og kastalar - leikjabók",111975,variable,4189,9789935111975,
4194,"Prinsessuhöllin - Leikjabók",111982,variable,4193,9789935111982,
4198,"Skúli skelfir og jólaleikritið",111999,variable,4197,9789935111999,
4204,"Stígvélaði kötturinn",112002,variable,4203,9789935112002,
4208,"Paganinisamningurinn: Joona Linna #2",112019,variable,4207,9789935112019,
4215,Lýtalaus,112026,variable,4214,9789935112026,
4219,"Meistaraverkið og fleiri sögur",112033,variable,4218,9789935112033,
4226,Feigð,112040,variable,4225,9789935112040,
4232,Glæsir,112057,variable,4231,9789935112057,
4239,"Skáldið og ástin: Halldór Laxness, bréf til Ingu 1927-1939",112064,variable,4238,9789935112064,
4243,"Dagbók Ólafíu Arndísar",112088,variable,4242,9789935112088,
4247,"Skúli skelfir rokkar",112095,variable,4246,9789935112095,
4252,"Regnskógabeltið raunamædda",112101,variable,4251,9789935112101,
4261,Húshjálpin,112125,variable,4260,9789935112125,
4267,"Ekki líta undan - saga Guðrúnar Ebbu dóttur Ólafs Skúlasonar biskups",112132,variable,4266,9789935112132,
4271,"Skipulagsfærni – verkefni, vegvísar og viðmið",112149,variable,4270,9789935112149,
4275,"Samskiptafærni – samskipti, hópar og teymisvinna",112156,variable,4274,9789935112156,
4279,Valeyrarvalsinn,112163,variable,4278,9789935112163,
4283,"Trúir þú á töfra?",112170,variable,4282,9789935112170,
4287,Bernskubók,112187,variable,4286,9789935112187,
4291,Dögun,112194,variable,4290,9789935112194,
4295,"Íslensku húsdýrin og Trölli",112200,variable,4294,9789935112200,
4299,"Allt með kossi vekur",112217,variable,4298,9789935112217,
4303,"Konan við 1000°",112224,variable,4302,9789935112224,
4308,"Græni atlasinn",112231,variable,4307,9789935112231,
4313,"Af heilum hug: rætt við eldhugana Jónu Hrönn Bolladóttur og Bjarna Karlsson",112248,variable,4312,9789935112248,
4324,"Úkk og Glúkk - Ævintýri kúng-fú-hellisbúa úr framtíðinni",112262,variable,4323,9789935112262,
4330,"Táknmál blómanna",112279,variable,4329,9789935112279,
4335,"Með sumt á hreinu: Jakob Frímann lítur um öxl",112286,variable,4334,9789935112286,
4347,"Gamlinginn sem skreið út um gluggann og hvarf",112309,variable,4346,9789935112309,
4365,"Skúli skelfir og leynifélagið",112385,variable,4364,9789935112385,
4371,Starfsmannaval,112392,variable,4370,9789935112392,
4383,"Ótrúleg saga um risastóra peru",112439,variable,4382,9789935112439,
4387,"Spjótalög á spegil",112441,variable,4386,9789979116660,
4391,"Boðskapur Lúsifers",112446,variable,4390,9789935112446,
4398,"Dauðadjúp: Rebecka Martinsson #4",112491,variable,4397,9789935112491,
4402,"Konan sem hann elskaði áður",112514,variable,4401,9789935112514,
4408,Albert,112521,variable,4407,9789935112521,
4414,"Má ekki elska þig",112538,variable,4413,9789935112538,
4422,"Skúli skelfir og íþróttadagurinn",112569,variable,4421,9789935112569,
4436,"Sumarhús með sundlaug",112620,variable,4435,9789935112620,
4440,"Legobókin - Star Wars",112637,variable,4439,9789935112637,
4444,"Upphafið - forsaga lífsins",112651,variable,4443,9789935112651,
4450,"Hetjur og hugarvíl",112668,variable,4449,9789935112668,
4456,"Bílar - í máli og myndum",112675,variable,4455,9789935112675,
4461,"Megas - textar 1966-2011",112699,variable,4460,9789935112699,
4465,"Fórnardauði: Jack Reacher #15",112712,variable,4464,9789935112712,
4471,"Brot af staðreynd",112729,variable,4470,9789935112729,
4475,"Eldar kvikna: Hungurleikarnir #2",112736,variable,4474,9789935112736,
4481,Hugsjór,112767,variable,4480,9789935112767,
4487,"Stiklað á stóru um býsna margt",112774,variable,4486,9789935112774,
4493,"Kona tígursins",112781,variable,4492,9789935112781,
4500,"Skúli Skelfir og uppvakningsvampíran",112804,variable,4499,9789935112804,
4504,Húsið,112811,variable,4503,9789935112811,
4508,"Reglur hússins",112828,variable,4507,9789935112828,
4514,Milla,112873,variable,4513,9789935112873,
4518,Málarinn,112880,variable,4517,9789935112880,
4523,Fantasíur,112897,variable,4522,9789935112897,
4527,"Ár kattarins",112903,variable,4526,9789935112903,
4533,"Jesúsa: Óskammfeilin, þverúðug og skuldlaus",112910,variable,4532,9789935112910,
4537,"Hermiskaði: Hungurleikarnir #3",112927,variable,4536,9789935112927,
4545,"Fimmtíu gráir skuggar",112941,variable,4544,9789935112941,
4549,Spádómurinn,112958,variable,4548,9789935112958,
4553,"Eldvitnið: Joona Linna #3",112965,variable,4552,9789935112965,
4565,Kantata,113016,variable,4564,9789935113016,
4570,"Appelsínur frá Abkasíu",113023,variable,4569,9789935113023,
4574,"Ljóð orku lind",113030,variable,4573,9789935113030,
4578,Stekk,113047,variable,4577,9789935113047,
4583,"Hreint út sagt: sjálfsævisaga",113061,variable,4582,9789935113061,
4587,"Hvalirnir syngja",113078,variable,4586,9789935113078,
4592,"Eftirréttir Sollu",113085,variable,4591,9789935113085,
4596,"Hvítfeld - fjölskyldusaga",113092,variable,4595,9789935113092,
4600,"Hin eilífa þrá",113108,variable,4599,9789935113108,
4604,"Reisubók Ólafíu Arndísar",113115,variable,4603,9789935113115,
4617,"Ísland í aldanna rás, 2001-2010",113153,variable,4616,9789935113153,
4621,"Eragon #4: Arfleifðin",113177,variable,4620,9789935113177,
4629,"Eitt skot: Jack Reacher #9",113191,variable,4628,9789935113191,
4633,"Fimmtíu dekkri skuggar",113207,variable,4632,9789935113207,
4637,Íslendingablokk,113214,variable,4636,9789935113214,
4646,"Kafteinn Ofurbrók og tiktúrurnar í Tappa Teygjubrók",113221,variable,4645,9789935113221,
4651,"Lilli klifurmús og hin dýrin í Hálsaskógi",113306,variable,4650,9789935113306,
4655,"Hægara pælt en kýlt",113313,variable,4654,9789935113313,
4659,"Fimmtíu skuggar frelsis",113320,variable,4658,9789935113320,
4665,Útlagi,113337,variable,4664,9789935113337,
4671,"Líf annarra en mín",113344,variable,4670,9789935113344,
4678,"Fimmtíu skugga pakki - 3 kiljur",113399,variable,4677,9789935113399,
4686,"Nýttu kraftinn",113405,variable,4685,9789935113405,
4698,"Markþjálfun - vilji, vit og vissa",113429,variable,4697,9789935113429,
4703,"Áður en ég sofna",113436,variable,4702,9789935113436,
4709,Svifflug,113443,variable,4708,9789935113443,
4713,Úlfshjarta,113450,variable,4712,9789935113450,
4718,"Undirdjúp Íslands / Sub-Iceland",113474,variable,4717,9789935113474,
4725,Ballið,113511,variable,4724,9789935113511,
4729,"Hinir réttlátu",113528,variable,4728,9789935113528,
4733,"Byggjum úr Lego",113535,variable,4732,9789935113535,
4737,"Rutt úr vegi: Jack Reacher #1",113542,variable,4736,9789935113542,
4741,"Mótorhjól í máli og myndum",113559,variable,4740,9789935113559,
4745,Rósablaðaströndin,113566,variable,4744,9789935113566,
4749,"Skúli skelfir og skrímslamyndin",113573,variable,4748,9789935113573,
4753,"Skúli skelfir - líkaminn",113580,variable,4752,9789935113580,
4757,"Ærlegi lærlingurinn",113597,variable,4756,9789935113597,
4763,"Náttúran - leiðsögn í máli og myndum",113603,variable,4762,9789935113603,
4767,"Popol Vúh - kynjasögur",113610,variable,4766,9789935113610,
4773,"Börnin í Dimmuvík",113627,variable,4772,9789935113627,
4779,"Ekki þessi týpa",113634,variable,4778,9789935113634,
4789,"Nýja testamenti Odds Gottskálk",113668,variable,4788,9789979213918,
4794,"Hér koma Skoppa og Skrítla",113672,variable,4793,9789935113672,
